RESOURCE_NAME,SKU,UNIT,CROSS_CHARGE_PRICE,LIST_PRICE,SITE_LIST_PRICE
PIC_APM_EVENT_COUNTS,,100000 events per hour,0.13,0.65,
PIC_ADWC_COMPUTE_BYOL,,OCPU Hours,0.073,0.365,
PIC_ADWC_EXADATA_STORAGE,,TB Hours,0.03,0.15,
PIC_ADWC_COMPUTE,,OCPU Hours,0.073,0.365,
PIC_ATP_COMPUTE_BYOL,,OCPU Hours,0.073,0.365,
PIC_ATP_EXADATA_STORAGE,,TB Hours,0.03,0.15,
PIC_ATP_COMPUTE,,OCPU Hours,0.073,0.365,
PIC_STANDARD_PERFORMANCE,,GB Months,0.0004,0.002,
PIC_STANDARD_STORAGE,,TB HOUR,0.0077,0.0385,
PIC_METRIC_INGESTION,,Million Datapoints,0.0006,0.003,
PIC_COMPUTE_VM_STANDARD,,OCPU Hours,0.0075,0.0375,
PIC_COMPUTE_X7_NVME_28_8,,OCPU Hours,0.0319,0.1595,
PIC_COMPUTE_X7_VM_DENSEIO,,OCPU Hours,0.0319,0.1595,
PIC_COMPUTE_X7_VM_STANDARD,,OCPU Hours,0.0159,0.0795,
PIC_COMPUTE_STANDARD_E2,,OCPU Hours,0.0075,0.0375,
PIC_COMPUTE_X5_NVME_28_8,,OCPU Hours,0.0319,0.1595,
PIC_COMPUTE_DENSE_E4_MEMORY,,TB Hours,0.4,2,
PIC_COMPUTE_DENSE_E4_NVME,,TB Hours,0.0153,0.0765,
PIC_COMPUTE_DENSE_E4_OCPU,,OCPU Hours,0.0063,0.0315,
PIC_COMPUTE_GPU_STANDARD_V2,,GPU Hours,0.7375,3.6875,
PIC_COMPUTE_STANDARD_E3_MEMORY,,TB Hours,0.4,2,
PIC_COMPUTE_STANDARD_E3_OCPU,,OCPU Hours,0.0062,0.031,
PIC_COMPUTE_STANDARD_E4_MEMORY,,TB Hours,0.4,2,
PIC_COMPUTE_STANDARD_E4_OCPU,,OCPU Hours,0.0063,0.0315,
PIC_COMPUTE_BM_STANDARD_B1,,OCPU Hours,0.0075,0.0375,
PIC_COMPUTE_WINDOWS_OS,,OCPU Hours,0.092,0.46,
PIC_COMPUTE_X7_STANDARD,,OCPU Hours,0.0159,0.0795,
PIC_DB_CLOUD_CPU_CORES,,OCPU per hour,0.008,0.04,
PIC_EXADATA_INFRA_HALF_RACK_X7_HOURLY,,Hosted Environment Hours,0.073,0.365,
PIC_EXADATA_INFRA_QUARTER_RACK_X7_HOURLY,,Hosted Environment Hours,0.073,0.365,
PIC_ADBS_APEX_LI,,Hours,0.0645,0.3225,
PIC_DATABASE_CLOUD_ENTERPRISE_EDITION_EXTREME_PERFORMANCE,,OCPU Hours,0.016,0.08,
PIC_EXADATA_COMPUTE_X8M_HOURLY,,Hosted Environment Hours,1.406,7.03,
PIC_EXADATA_INFRA_FULL_RACK_X7_HOURLY,,Hosted Environment Hours,0.073,0.365,
PIC_EXADATA_INFRA_QUARTER_RACK_X8_HOURLY,,Hosted Environment Hours,0.073,0.365,
PIC_EXADATA_QUARTER_RACK_X6,,Hosted Environment Hours,0.073,0.365,
PIC_EXADATA_QUARTER_RACK_X8M_HOURLY,,Hosted Environment Hours,7.305,36.525,14.5162
PIC_EXADATA_STORAGE_X8M_HOURLY,,Hosted Environment Hours,1.4976,7.488,
PIC_AJD_COMPUTE,,OCPU Hours,0.0731,0.3655,
PIC_DATABASE_CLOUD_ALL_EDITION_BYOL,,OCPU Hours,0.016,0.08,
PIC_EXADATA_COMPUTE_X9M_HOURLY,,Hosted Environment Hours,1.406,7.03,
PIC_EXADATA_QUARTER_RACK_X9M_HOURLY,,Hosted Environment Hours,7.305,36.525,14.5162
PIC_EXADATA_STORAGE_X9M_HOURLY,,Hosted Environment Hours,1.4976,7.488,
PIC_DYN_EMAIL_DELIVERY,,Email,0.0213,0.1065,
PIC_FILE_STORAGE,,GB Months,0.0527,0.2635,
PIC_OCI_KMS_KEYVERSION,,Key Version Hours,0.25,1.25,
PIC_KEY_MANAGEMENT,,virtual private vault,1.7457,8.7285,
PIC_LB_LARGE,,LB Hours,0.425,2.125,
PIC_LB_MEDIUM,,LB Hours,0.0213,0.1065,
PIC_LB_SMALL,,LB Hours,0.0053,0.0265,
PIC_LOGGING_STORAGE,,Gigabyte Log Storage per Month,0,0,
PIC_MYSQL_STANDARD_E3_MEMORY,,GB Hours,0.0004,0.002,
PIC_MYSQL_STANDARD_E3_OCPU,,OCPU Hours,0.0076,0.038,
PIC_MYSQL_STANDARD_STORAGE,,GB Months,0.008,0.04,
PIC_OBJECT_STORAGE_REQUEST_TIERED,,10K Requests,0.0009,0.0045,
PIC_OBJECT_STORAGE_TIERED,,GB Months,0.0064,0.032,
PIC_DATA_RETRIEVAL,,GB Months,0.00008,0.0004,
PIC_INFREQUENT_ACCESS_STORAGE_TIERED,,GB Months,0.0025,0.0125,
PIC_COMPUTE_OUTBOUND_DATA_TRANSFER_ZONE1,,GB,0.000067,0.000335,
